Switch_traffic_lights 红绿灯增删
Vehicles_going_straight_may_change_lanes_at_junctions 直行车辆可以在路口变更车道
Allow_u-turns 允许车辆掉头
Allow_lane_changing_for_vehicles_going_straight 允许直行车辆变更车道
Allow_vehicles_to_enter_a_blocked_junction 允许车辆进入堵塞路口
Road_condition_has_a_bigger_impact_on_vehicle_speed 道路状况对车辆速度有较大影响
Vehicle_restrictions 道路车种限制
Copy 复制
Paste 粘贴
Invert 反转
Apply_vehicle_restrictions_to_all_road_segments_between_two_junctions 应用车种限制设定至两个路口间所有路段
Allow_all_vehicles 允许所有车种通行
Ban_all_vehicles 禁止所有车种通行
Set_all_traffic_lights_to_red 将所有红绿灯设为红灯
Rotate_left 向左旋转
Rotate_right 向右旋转
Name 名称
Apply 应用
Select_a_timed_traffic_light_program 请选择一个红绿灯来设定定时
The_chosen_traffic_light_program_is_incompatible_to_this_junction 所选择的红绿灯模式不能用于此路口
Advanced_AI_cannot_be_activated 高级车辆AI无法启动
The_Advanced_Vehicle_AI_cannot_be_activated 高级车辆AI无法启动，因为您已启用其他车辆控制MOD
Enable_dynamic_path_calculation 启用动态路径计算
Changes_made_with_this_tool_will_take_full_effect_after_some_minutes 此工具所做更改需要几分钟生效
Lane_Arrow_Changer_Disabled_Connection 车道箭头不可改变因为你已经手动创建车道连接
Lane_connector 车道连接工具
Connected_lanes 已连接车道
Use_alternative_view_mode 使用替代视图模式
Road_type 道路类型
Default_speed_limit 默认道路限速
Unit_system 单元制度
Metric 公制
Imperial 英制
Use_more_CPU_cores_for_route_calculation_if_available 使用更多的CPU内核来计算路线(如果可用)
Activated_features 启用功能
Junction_restrictions 路口管制
Prohibit_spawning_of_pocket_cars 禁止袖珍车产生
Reset_stuck_cims_and_vehicles 重置卡住的行人和车辆
Default_speed_limits 默认速度限制
Looking_for_a_parking_spot 寻找停车位
Driving_to_a_parking_spot 行驶到停车位
Driving_to_another_parking_spot 行驶到另一个停车位
Entering_vehicle 进入车辆
Walking_to_car 走向汽车
Using_public_transport 使用公共交通
Walking 步行
Thinking_of_a_good_parking_spot 找一个好停车位
Switch_view 切换视图
Outgoing_demand 出货需求
Incoming_demand 进货需求
Advanced_Vehicle_AI 高级车辆AI
Heavy_trucks_prefer_outer_lanes_on_highways 大型车辆在高速公路上优先行驶外侧车道
Parking_AI 停车AI
Enable_more_realistic_parking 启用更真实的停车位
Reset_custom_speed_limits 重置自定义速度限制
Reload_global_configuration 重新加载所有设定
Reset_global_configuration 重置所有设定
General 常规
Gameplay 游戏
Overlays 覆盖
Realistic_speeds 真实车速
Evacuation_busses_may_ignore_traffic_rules 应急疏散巴士可忽略交通规则
Evacuation_busses_may_only_be_used_to_reach_a_shelter 应急疏散巴士仅可用于到达避难所
Vehicle_behavior 车辆行为
Policies_&_Restrictions 政策与限制
At_junctions 位于路口
In_case_of_emergency 在紧急情况下
Show_lane-wise_speed_limits 显示道路各车道限速设置
Language 语言
Game_language 同游戏语言
requires_game_restart 重启后生效
Customizations_come_into_effect_instantaneously 订制模拟真实度将立即生效
Options 选项
Lock_main_menu_button_position 锁定主菜单按钮位置
Lock_main_menu_position 锁定主菜单位置
Recalculating_lane_routing 重新计算车道路线
Please_wait 请稍候
Parking_restrictions 路边停车限制
Simulation 模拟
On_roads 专用道路
Ban_private_cars_and_trucks_on_bus_lanes 禁止私家车和卡车驶入公交车专用道
default 默认
flow_ratio 通行比例
wait_ratio 等候比例
After_min._time_has_elapsed_switch_to_next_step_if 在设定最短时间过后，跳转至下一步骤，如果
Adaptive_step_switching 渐进逐步切换
Dynamic_lane_section 智能车道选择
Percentage_of_vehicles_performing_dynamic_lane_section 进行智能车道选择的车辆百分比
Vehicle_restrictions_aggression 车辆交规严格度
Strict 严苛
Show_path-find_stats 显示车辆寻找路线数据
Remove_this_vehicle 移除此车辆
Vehicles_follow_priority_rules_at_junctions_with_timed_traffic_lights 优先通行规则适用于带自定时红绿灯的路口
